"country","north","south","east","west"
"Andorra","42.65604389629997","42.42849259876837","1.7865427778319827","1.4071867141112762"
"United Arab Emirates","26.08415985107422","22.633329391479492","56.38166046142578","51.58332824707031"
"Afghanistan","38.483418","29.377472","74.879448","60.478443"
"Antigua and Barbuda","17.729387","16.996979","-61.672421","-61.906425"
"Anguilla","18.283424","18.166815","-62.971359","-63.172901"
"Albania","42.665611","39.648361","21.068472","19.293972"
"Armenia","41.301834","38.830528","46.772435045159995","43.44978"
"Angola","-4.376826","-18.042076","24.082119","11.679219"
"Antarctica","-60.515533","-89.9999","179.9999","-179.9999"
"Argentina","-21.781277","-55.061314","-53.591835","-73.58297"
"American Samoa","-11.0497","-14.382478","-169.416077","-171.091888"
"Austria","49.0211627691393","46.3726520216244","17.1620685652599","9.53095237240833"
"Australia","-10.062805","-43.64397","153.639252","112.911057"
"Aruba","12.623718127152925","12.411707706190716","-69.86575120104982","-70.0644737196045"
"Åland","60.488861","59.90675","21.011862","19.317694"
"Azerbaijan","41.90564","38.38915252685547","50.370083","44.774113"
"Bosnia and Herzegovina","45.239193","42.546112","19.622223","15.718945"
"Barbados","13.327257","13.039844","-59.420376","-59.648922"
"Bangladesh","26.631945","20.743334","92.673668","88.028336"
"Belgium","51.505444","49.49361","6.403861","2.546944"
"Burkina Faso","15.082593","9.401108","2.405395","-5.518916"
"Bulgaria","44.21764","41.242084","28.612167","22.371166"
"Bahrain","26.282583","25.796862","50.664471","50.45414"
"Burundi","-2.310123","-4.465713","30.847729","28.993061"
"Benin","12.418347","6.225748","3.851701","0.774575"
"Saint Barthélemy","17.928808791949283","17.878183227405575","-62.788983372985854","-62.8739118253784"
"Bermuda","32.393833","32.246639","-64.651993","-64.89605"
"Brunei","5.047167","4.003083","115.359444","114.071442"
"Bolivia","-9.680567","-22.896133","-57.45809600000001","-69.640762"
"Bonaire","12.304535","12.017149","-68.192307","-68.416458"
"Brazil","5.264877","-33.750706","-32.392998","-73.985535"
"Bahamas","26.919243","22.852743","-74.423874","-78.995911"
"Bhutan","28.323778","26.70764","92.125191","88.75972"
"Bouvet Island","-54.400322","-54.462383","3.487976","3.335499"
"Botswana","-17.780813","-26.907246","29.360781","19.999535"
"Belarus","56.165806","51.256416","32.770805","23.176889"
"Belize","18.496557","15.8893","-87.776985","-89.224815"
"Canada","83.110626","41.67598","-52.636291","-141"
"Cocos [Keeling] Islands","-12.072459094","-12.208725839","96.929489344","96.816941408"
"Democratic Republic of the Congo","5.386098","-13.455675","31.305912","12.204144"
"Central African Republic","11.007569","2.220514","27.463421","14.420097"
"Republic of the Congo","3.703082","-5.027223","18.649839","11.205009"
"Switzerland","47.805332","45.825695","10.491472","5.957472"
"Ivory Coast","10.736642","4.357067","-2.494897","-8.599302"
"Cook Islands","-10.023114","-21.944164","-157.312134","-161.093658"
"Chile","-17.507553","-55.9256225109217","-66.417557","-80.785851"
"Cameroon","13.078056","1.652548","16.192116","8.494763"
"China","53.56086","15.775416","134.773911","73.557693"
"Colombia","13.380502","-4.225869","-66.869835","-81.728111"
"Costa Rica","11.216819","8.032975","-82.555992","-85.950623"
"Cuba","23.226042","19.828083","-74.131775","-84.957428"
"Cape Verde","17.197178","14.808022","-22.669443","-25.358747"
"Curacao","12.385672","12.032745","-68.733948","-69.157204"
"Christmas Island","-10.412356007","-10.5704829995","105.712596992","105.533276992"
"Cyprus","35.701527","34.6332846722908","34.59791599999994","32.27308300000004"
"Czech Republic","51.058887","48.542915","18.860111","12.096194"
"Germany","55.055637","47.275776","15.039889","5.865639"
"Djibouti","12.706833","10.909917","43.416973","41.773472"
"Denmark","57.748417","54.562389","15.158834","8.075611"
"Dominica","15.631809","15.20169","-61.244152","-61.484108"
"Dominican Republic","19.929859","17.543159","-68.32","-72.003487"
"Algeria","37.093723","18.960028","11.979548","-8.673868"
"Ecuador","1.43902","-4.998823","-75.184586","-81.078598"
"Estonia","59.676224","57.516193","28.209972","21.837584"
"Egypt","31.667334","21.725389","36.89833068847656","24.698111"
"Western Sahara","27.669674","20.774158","-8.670276","-17.103182"
"Eritrea","18.003084","12.359555","43.13464","36.438778"
"Spain","43.7913565913767","36.0001044260548","4.32778473043961","-9.30151567231899"
"Ethiopia","14.89375","3.402422","47.986179","32.999939"
"Finland","70.096054","59.808777","31.580944","20.556944"
"Fiji","-12.480111","-20.67597","-178.424438","177.129334"
"Falkland Islands","-51.24065","-52.360512","-57.712486","-61.345192"
"Micronesia","10.08904","1.02629","163.03717","137.33648"
"Faroe Islands","62.400749","61.394943","-6.399583","-7.458"
"France","51.092804","41.371582","9.561556","-5.142222"
"Gabon","2.322612","-3.978806","14.502347","8.695471"
"United Kingdom","59.360249","49.906193","1.759","-8.623555"
"Grenada","12.318283928171299","11.986893","-61.57676970108031","-61.802344"
"Georgia","43.586498","41.053196","46.725971","40.010139"
